Temperature dependence of specific heat
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
298       36.300000        23.690000        53.840000        7.007570         9.618716         8.876085         8.033080         6.963071         2.072526         
299       36.300000        23.690000        53.840000        7.011578         9.636329         8.893675         8.035540         6.964873         2.089006         
300       36.300000        23.690000        53.840000        7.015556         9.653778         8.911111         8.038000         6.966667         2.105333         
301       36.300000        23.690000        53.840000        7.019504         9.671066         8.928394         8.040460         6.968451         2.121509         
302       36.300000        23.690000        53.840000        7.023423         9.688194         8.945527         8.042920         6.970227         2.137536         
303       36.300000        23.690000        53.840000        7.027313         9.705165         8.962511         8.045380         6.971994         2.153416         
304       36.300000        23.690000        53.840000        7.031175         9.721981         8.979349         8.047840         6.973752         2.169150         
305       36.300000        23.690000        53.840000        7.035008         9.738644         8.996042         8.050300         6.975502         2.184741         
306       36.300000        23.690000        53.840000        7.038814         9.755156         9.012591         8.052760         6.977244         2.200191         
307       36.300000        23.690000        53.840000        7.042592         9.771518         9.029000         8.055220         6.978978         2.215501         
308       36.300000        23.690000        53.840000        7.046344         9.787733         9.045270         8.057680         6.980703         2.230673         
309       36.300000        23.690000        53.840000        7.050068         9.803803         9.061403         8.060140         6.982421         2.245709         
310       36.300000        23.690000        53.840000        7.053767         9.819730         9.077400         8.062600         6.984130         2.260611         
311       36.300000        23.690000        53.840000        7.057439         9.835514         9.093263         8.065060         6.985832         2.275381         
312       36.300000        23.690000        53.840000        7.061086         9.851159         9.108994         8.067520         6.987526         2.290019         
313       36.300000        23.690000        53.840000        7.064708         9.866666         9.124594         8.069980         6.989212         2.304529         
314       36.300000        23.690000        53.840000        7.068304         9.882037         9.140066         8.072440         6.990891         2.318911         
315       36.300000        23.690000        53.840000        7.071876         9.897273         9.155410         8.074900         6.992563         2.333167         
316       36.300000        23.690000        53.840000        7.075423         9.912376         9.170629         8.077360         6.994227         2.347298         
317       36.300000        23.690000        53.840000        7.078946         9.927348         9.185724         8.079820         6.995884         2.361307         
318       36.300000        23.690000        53.840000        7.082446         9.942191         9.200697         8.082280         6.997534         2.375195         
319       36.300000        23.690000        53.840000        7.085922         9.956905         9.215549         8.084740         6.999177         2.388963         
320       36.300000        23.690000        53.840000        7.089375         9.971494         9.230281         8.087200         7.000813         2.402613         
321       36.300000        23.690000        53.840000        7.092805         9.985957         9.244896         8.089660         7.002442         2.416146         
322       36.300000        23.690000        53.840000        7.096212         10.000298        9.259394         8.092120         7.004064         2.429563         
323       36.300000        23.690000        53.840000        7.099597         10.014516        9.273777         8.094580         7.005679         2.442867         
324       36.300000        23.690000        53.840000        7.102961         10.028615        9.288047         8.097040         7.007288         2.456059         
325       36.300000        23.690000        53.840000        7.106302         10.042595        9.302204         8.099500         7.008891         2.469139         
326       36.300000        23.690000        53.840000        7.109622         10.056457        9.316251         8.101960         7.010486         2.482110         
327       36.300000        23.690000        53.840000        7.112920         10.070204        9.330188         8.104420         7.012076         2.494972         
328       36.300000        23.690000        53.840000        7.116198         10.083836        9.344017         8.106880         7.013659         2.507727         
329       36.300000        23.690000        53.840000        7.119454         10.097356        9.357739         8.109340         7.015236         2.520377         
330       36.300000        23.690000        53.840000        7.122691         10.110763        9.371356         8.111800         7.016807         2.532922         
331       36.300000        23.690000        53.840000        7.125907         10.124061        9.384869         8.114260         7.018372         2.545364         
332       36.300000        23.690000        53.840000        7.129103         10.137249        9.398279         8.116720         7.019931         2.557703         
333       36.300000        23.690000        53.840000        7.132279         10.150330        9.411586         8.119180         7.021484         2.569942         
334       36.300000        23.690000        53.840000        7.135436         10.163305        9.424794         8.121640         7.023031         2.582082         
335       36.300000        23.690000        53.840000        7.138573         10.176174        9.437902         8.124100         7.024572         2.594123         
336       36.300000        23.690000        53.840000        7.141692         10.188939        9.450912         8.126560         7.026107         2.606067         
337       36.300000        23.690000        53.840000        7.144791         10.201602        9.463825         8.129020         7.027637         2.617915         
338       36.300000        23.690000        53.840000        7.147872         10.214164        9.476642         8.131480         7.029162         2.629668         
339       36.300000        23.690000        53.840000        7.150935         10.226625        9.489364         8.133940         7.030680         2.641328         
340       36.300000        23.690000        53.840000        7.153979         10.238987        9.501993         8.136400         7.032194         2.652894         
341       36.300000        23.690000        53.840000        7.157006         10.251251        9.514529         8.138860         7.033702         2.664369         
342       36.300000        23.690000        53.840000        7.160014         10.263419        9.526974         8.141320         7.035204         2.675754         
343       36.300000        23.690000        53.840000        7.163006         10.275491        9.539329         8.143780         7.036702         2.687049         
344       36.300000        23.690000        53.840000        7.165979         10.287468        9.551594         8.146240         7.038194         2.698255         
345       36.300000        23.690000        53.840000        7.168936         10.299352        9.563771         8.148700         7.039681         2.709374         
346       36.300000        23.690000        53.840000        7.171876         10.311144        9.575861         8.151160         7.041163         2.720407         
347       36.300000        23.690000        53.840000        7.174799         10.322844        9.587864         8.153620         7.042640         2.731354         
348       36.300000        23.690000        53.840000        7.177705         10.334454        9.599783         8.156080         7.044112         2.742217         
349       36.300000        23.690000        53.840000        7.180595         10.345975        9.611617         8.158540         7.045579         2.752997         
350       36.300000        23.690000        53.840000        7.183469         10.357408        9.623367         8.161000         7.047041         2.763694         
351       36.300000        23.690000        53.840000        7.186327         10.368754        9.635036         8.163460         7.048498         2.774309         
352       36.300000        23.690000        53.840000        7.189169         10.380013        9.646623         8.165920         7.049951         2.784844         
353       36.300000        23.690000        53.840000        7.191996         10.391188        9.658129         8.168380         7.051399         2.795299         
354       36.300000        23.690000        53.840000        7.194807         10.402278        9.669556         8.170840         7.052842         2.805675         
355       36.300000        23.690000        53.840000        7.197603         10.413284        9.680904         8.173300         7.054281         2.815974         
