Temperature dependence of enthalpy
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
298       -115700.000000   -126300.000000   -368750.000000   0.000000         -83820.000000    -94051.000000    -57796.000000    0.000000         0.000000         
299       -115663.700000   -126276.310000   -368696.160000   7.009576         -83810.372464    -94042.115107    -57787.965690    6.963973         2.080779         
300       -115627.400000   -126252.620000   -368642.320000   14.023145        -83800.727397    -94033.212701    -57779.928920    13.929744        4.177962         
301       -115591.100000   -126228.930000   -368588.480000   21.040678        -83791.064962    -94024.292936    -57771.889690    20.897303        6.291395         
302       -115554.800000   -126205.240000   -368534.640000   28.062143        -83781.385320    -94015.355962    -57763.848000    27.866643        8.420930         
303       -115518.500000   -126181.550000   -368480.800000   35.087513        -83771.688627    -94006.401931    -57755.803850    34.837754        10.566418        
304       -115482.200000   -126157.860000   -368426.960000   42.116759        -83761.975041    -93997.430989    -57747.757240    41.810628        12.727713        
305       -115445.900000   -126134.170000   -368373.120000   49.149853        -83752.244716    -93988.443282    -57739.708170    48.785256        14.904671        
306       -115409.600000   -126110.480000   -368319.280000   56.186766        -83742.497804    -93979.438953    -57731.656640    55.761630        17.097148        
307       -115373.300000   -126086.790000   -368265.440000   63.227472        -83732.734454    -93970.418146    -57723.602650    62.739742        19.305006        
308       -115337.000000   -126063.100000   -368211.600000   70.271942        -83722.954816    -93961.380999    -57715.546200    69.719583        21.528104        
309       -115300.700000   -126039.410000   -368157.760000   77.320150        -83713.159036    -93952.327651    -57707.487290    76.701145        23.766306        
310       -115264.400000   -126015.720000   -368103.920000   84.372070        -83703.347258    -93943.258239    -57699.425920    83.684421        26.019478        
311       -115228.100000   -125992.030000   -368050.080000   91.427675        -83693.519624    -93934.172897    -57691.362090    90.669403        28.287485        
312       -115191.800000   -125968.340000   -367996.240000   98.486940        -83683.676275    -93925.071758    -57683.295800    97.656082        30.570195        
313       -115155.500000   -125944.650000   -367942.400000   105.549839       -83673.817351    -93915.954953    -57675.227050    104.644452       32.867480        
314       -115119.200000   -125920.960000   -367888.560000   112.616347       -83663.942988    -93906.822612    -57667.155840    111.634504       35.179210        
315       -115082.900000   -125897.270000   -367834.720000   119.686439       -83654.053322    -93897.674864    -57659.082170    118.626232       37.505259        
