Entered data
Reagents:
Zn(NO3)2 1.0
NH2CH2COOH 0.6667
C6H8O7 0.277778
O2 -0.249924
Products:
ZnO 1.0
CO2 2.500068
H2O 2.777862
N2 1.33335
C 0.5
Mass of object product, g: 5
Emitting area, m^2: 0.0113
Burning time, s: 8
Ignition temperature, K: 450
The amount of water in crystalline hydrate: 0
Start of calculations
  T, K    Cp(reag)   Cp(prod)    dH(reag)     dH(prod)        Q          Cp*dT       A          delta       delta*n      rad       Result 
   298    65.2983    64.4448    -302334.8    -479503.2     177168.4    -10461.8   -2071.1     189701.2     11656.8      9.7     11647.2
   299    65.2973    64.5239    -302269.5    -479438.7     177169.2    -10397.3   -2057.4     189623.9     11652.1      9.8     11642.3
   300    65.2963    64.6023    -302204.3    -479374.2     177169.9    -10332.7   -2043.8     189546.4     11647.3      9.9     11637.4
   301    65.2953    64.6801    -302139.0    -479309.5     177170.6    -10268.1   -2030.2     189468.8     11642.6     10.0     11632.5
   302    65.2944    64.7573    -302073.7    -479244.8     177171.1    -10203.3   -2016.6     189391.1     11637.8     10.2     11627.6
   303    65.2934    64.8338    -302008.4    -479180.0     177171.6    -10138.6   -2002.9     189313.1     11633.0     10.3     11622.7
   304    65.2924    64.9098    -301943.1    -479115.1     177172.1    -10073.7   -1989.3     189235.1     11628.2     10.5     11617.7
   305    65.2915    64.9851    -301877.8    -479050.2     177172.4    -10008.7   -1975.7     189156.8     11623.4     10.6     11612.8
   306    65.2905    65.0599    -301812.5    -478985.2     177172.7     -9943.7   -1962.1     189078.5     11618.6     10.7     11607.8
   307    65.2896    65.1341    -301747.2    -478920.1     177172.9     -9878.6   -1948.4     188999.9     11613.8     10.9     11602.9
   308    65.2886    65.2077    -301681.9    -478854.9     177173.0     -9813.4   -1934.8     188921.2     11608.9     11.0     11597.9
   309    65.2877    65.2807    -301616.6    -478789.7     177173.0     -9748.2   -1921.2     188842.4     11604.1     11.2     11592.9
   310    65.2868    65.3532    -301551.3    -478724.3     177173.0     -9682.9   -1907.6     188763.4     11599.2     11.3     11587.9
   311    65.2859    65.4252    -301486.1    -478658.9     177172.9     -9617.5   -1893.9     188684.3     11594.4     11.5     11582.9
   312    65.2850    65.4965    -301420.8    -478593.5     177172.7     -9552.0   -1880.3     188605.1     11589.5     11.6     11577.9
   313    65.2841    65.5674    -301355.5    -478528.0     177172.5     -9486.5   -1866.7     188525.7     11584.6     11.8     11572.9
   314    65.2832    65.6377    -301290.2    -478462.3     177172.2     -9420.9   -1853.1     188446.1     11579.7     11.9     11567.8
   315    65.2823    65.7075    -301224.9    -478396.7     177171.8     -9355.2   -1839.4     188366.4     11574.8     12.1     11562.8
   316    65.2814    65.7768    -301159.6    -478330.9     177171.3     -9289.5   -1825.8     188286.6     11569.9     12.2     11557.7
   317    65.2805    65.8455    -301094.4    -478265.1     177170.8     -9223.7   -1812.2     188206.6     11565.0     12.4     11552.6
   318    65.2796    65.9138    -301029.1    -478199.2     177170.2     -9157.8   -1798.6     188126.5     11560.1     12.5     11547.6
   319    65.2787    65.9815    -300963.8    -478133.3     177169.5     -9091.8   -1784.9     188046.3     11555.2     12.7     11542.5
   320    65.2779    66.0488    -300898.5    -478067.3     177168.8     -9025.8   -1771.3     187965.9     11550.2     12.8     11537.4
   321    65.2770    66.1156    -300833.2    -478001.2     177168.0     -8959.7   -1757.7     187885.4     11545.3     13.0     11532.3
   322    65.2762    66.1819    -300768.0    -477935.0     177167.1     -8893.6   -1744.1     187804.7     11540.3     13.2     11527.2
   323    65.2753    66.2477    -300702.7    -477868.8     177166.1     -8827.4   -1730.4     187724.0     11535.3     13.3     11522.0
   324    65.2745    66.3130    -300637.4    -477802.6     177165.1     -8761.1   -1716.8     187643.1     11530.4     13.5     11516.9
   325    65.2737    66.3779    -300572.1    -477736.2     177164.1     -8694.8   -1703.2     187562.0     11525.4     13.7     11511.7
   326    65.2728    66.4423    -300506.9    -477669.8     177162.9     -8628.3   -1689.6     187480.8     11520.4     13.8     11506.6
   327    65.2720    66.5063    -300441.6    -477603.3     177161.7     -8561.9   -1675.9     187399.5     11515.4     14.0     11501.4
   328    65.2712    66.5698    -300376.3    -477536.8     177160.5     -8495.3   -1662.3     187318.1     11510.4     14.2     11496.2
   329    65.2704    66.6329    -300311.0    -477470.2     177159.1     -8428.7   -1648.7     187236.6     11505.4     14.3     11491.1
   330    65.2696    66.6956    -300245.8    -477403.5     177157.7     -8362.1   -1635.1     187154.9     11500.4     14.5     11485.9
   331    65.2688    66.7578    -300180.5    -477336.8     177156.3     -8295.3   -1621.4     187073.1     11495.4     14.7     11480.7
   332    65.2680    66.8196    -300115.2    -477270.0     177154.8     -8228.6   -1607.8     186991.1     11490.3     14.9     11475.4
   333    65.2672    66.8810    -300050.0    -477203.2     177153.2     -8161.7   -1594.2     186909.1     11485.3     15.1     11470.2
   334    65.2664    66.9419    -299984.7    -477136.2     177151.5     -8094.8   -1580.6     186826.9     11480.2     15.2     11465.0
   335    65.2656    67.0025    -299919.4    -477069.3     177149.8     -8027.8   -1566.9     186744.6     11475.2     15.4     11459.7
   336    65.2648    67.0626    -299854.2    -477002.2     177148.1     -7960.8   -1553.3     186662.2     11470.1     15.6     11454.5
   337    65.2640    67.1224    -299788.9    -476935.1     177146.2     -7893.7   -1539.7     186579.6     11465.0     15.8     11449.2
   338    65.2633    67.1817    -299723.6    -476868.0     177144.3     -7826.5   -1526.1     186496.9     11460.0     16.0     11444.0
   339    65.2625    67.2407    -299658.4    -476800.8     177142.4     -7759.3   -1512.4     186414.2     11454.9     16.2     11438.7
   340    65.2617    67.2992    -299593.1    -476733.5     177140.4     -7692.1   -1498.8     186331.3     11449.8     16.4     11433.4
   341    65.2610    67.3574    -299527.9    -476666.2     177138.3     -7624.7   -1485.2     186248.2     11444.7     16.6     11428.1
   342    65.2602    67.4152    -299462.6    -476598.8     177136.2     -7557.3   -1471.6     186165.1     11439.6     16.7     11422.8
